
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
0.33020 2.62124 0.00000 
0.32821 2.63727 0.00000 
0.32626 2.65331 0.00000 
0.32435 2.66934 0.00000 
0.32247 2.68537 0.00000 
0.32063 2.70140 0.00000 
0.31882 2.71743 0.00000 
0.31705 2.73347 0.00000 
0.31531 2.74950 0.00000 
0.31359 2.76553 0.00000 
0.31192 2.78156 0.00000 
0.31027 2.79760 0.00000 
0.30865 2.81363 0.00000 
0.30706 2.82966 0.00000 
0.30549 2.84569 0.00000 
0.30396 2.86172 0.00000 
0.30245 2.87776 0.00000 
0.30097 2.89379 0.00000 
0.29951 2.90982 0.00000 
0.29808 2.92585 0.00000 
0.29668 2.94188 0.00000 
0.29529 2.95792 0.00000 
0.29394 2.97395 0.00000 
0.29260 2.98998 0.00000 
0.29129 3.00601 0.00000 
0.29000 3.02204 0.00000 
0.28873 3.03808 0.00000 
0.28748 3.05411 0.00000 
0.28626 3.07014 0.00000 
0.28505 3.08617 0.00000 
0.28387 3.10220 0.00000 
0.28283 3.11644 0.00000 
0.28265 3.11824 0.00000 
0.28103 3.13427 0.00000 
0.27944 3.15030 0.00000 
0.27788 3.16633 0.00000 
0.27633 3.18236 0.00000 
0.27481 3.19840 0.00000 
0.27332 3.21443 0.00000 
0.27184 3.23046 0.00000 
0.27038 3.24649 0.00000 
0.26895 3.26253 0.00000 
0.26754 3.27856 0.00000 
0.26614 3.29459 0.00000 
0.26477 3.31062 0.00000 
0.26342 3.32665 0.00000 
0.26208 3.34269 0.00000 
0.26077 3.35872 0.00000 
0.25947 3.37475 0.00000 
0.25819 3.39078 0.00000 
0.25693 3.40681 0.00000 
0.25569 3.42285 0.00000 
0.25446 3.43888 0.00000 
0.25325 3.45491 0.00000 
0.25206 3.47094 0.00000 
0.25089 3.48697 0.00000 
0.24973 3.50301 0.00000 
0.24858 3.51904 0.00000 
0.24745 3.53507 0.00000 
0.24634 3.55110 0.00000 
0.24524 3.56713 0.00000 
0.24415 3.58317 0.00000 
0.24309 3.59920 0.00000 
0.24203 3.61523 0.00000 
0.24099 3.63126 0.00000 
0.23996 3.64729 0.00000 
0.23895 3.66333 0.00000 
0.23794 3.67936 0.00000 
0.23696 3.69539 0.00000 
0.23598 3.71142 0.00000 
0.23502 3.72745 0.00000 
0.23407 3.74349 0.00000 
0.23313 3.75952 0.00000 
0.23220 3.77555 0.00000 
0.23129 3.79158 0.00000 
0.23038 3.80762 0.00000 
0.22949 3.82365 0.00000 
0.22861 3.83968 0.00000 
0.22774 3.85571 0.00000 
0.22689 3.87174 0.00000 
0.22604 3.88778 0.00000 
0.22520 3.90381 0.00000 
0.22437 3.91984 0.00000 
0.22356 3.93587 0.00000 
0.22275 3.95190 0.00000 
0.22195 3.96794 0.00000 
0.22117 3.98397 0.00000 
0.22039 4.00000 0.00000 

0.74092 1.13026 0.00000 
0.73074 1.14629 0.00000 
0.72104 1.16232 0.00000 
0.71180 1.17836 0.00000 
0.70298 1.19439 0.00000 
0.69457 1.21042 0.00000 
0.68687 1.22579 0.00000 
0.68648 1.22645 0.00000 
0.67727 1.24248 0.00000 
0.66846 1.25852 0.00000 
0.66002 1.27455 0.00000 
0.65195 1.29058 0.00000 
0.64421 1.30661 0.00000 
0.63678 1.32265 0.00000 
0.62967 1.33868 0.00000 
0.62284 1.35471 0.00000 
0.61628 1.37074 0.00000 
0.60999 1.38677 0.00000 
0.60606 1.39706 0.00000 
0.60346 1.40281 0.00000 
0.59635 1.41884 0.00000 
0.58950 1.43487 0.00000 
0.58290 1.45090 0.00000 
0.57655 1.46693 0.00000 
0.57042 1.48297 0.00000 
0.56452 1.49900 0.00000 
0.55882 1.51503 0.00000 
0.55333 1.53106 0.00000 
0.54803 1.54709 0.00000 
0.54291 1.56313 0.00000 
0.53797 1.57916 0.00000 
0.53319 1.59519 0.00000 
0.52858 1.61122 0.00000 
0.52525 1.62309 0.00000 
0.52383 1.62725 0.00000 
0.51843 1.64329 0.00000 
0.51320 1.65932 0.00000 
0.50814 1.67535 0.00000 
0.50323 1.69138 0.00000 
0.49848 1.70741 0.00000 
0.49387 1.72345 0.00000 
0.48940 1.73948 0.00000 
0.48507 1.75551 0.00000 
0.48086 1.77154 0.00000 
0.47678 1.78758 0.00000 
0.47282 1.80361 0.00000 
0.46897 1.81964 0.00000 
0.46524 1.83567 0.00000 
0.46161 1.85170 0.00000 
0.45809 1.86774 0.00000 
0.45467 1.88377 0.00000 
0.45134 1.89980 0.00000 
0.44811 1.91583 0.00000 
0.44496 1.93186 0.00000 
0.44444 1.93453 0.00000 
0.44117 1.94790 0.00000 
0.43734 1.96393 0.00000 
0.43360 1.97996 0.00000 
0.42996 1.99599 0.00000 
0.42641 2.01202 0.00000 
0.42295 2.02806 0.00000 
0.41958 2.04409 0.00000 
0.41630 2.06012 0.00000 
0.41309 2.07615 0.00000 
0.40997 2.09218 0.00000 
0.40692 2.10822 0.00000 
0.40394 2.12425 0.00000 
0.40104 2.14028 0.00000 
0.39820 2.15631 0.00000 
0.39544 2.17234 0.00000 
0.39274 2.18838 0.00000 
0.39010 2.20441 0.00000 
0.38752 2.22044 0.00000 
0.38501 2.23647 0.00000 
0.38255 2.25251 0.00000 
0.38015 2.26854 0.00000 
0.37780 2.28457 0.00000 
0.37551 2.30060 0.00000 
0.37327 2.31663 0.00000 
